2012 US Presidential Election,Trump,Clinton,Other,
Alabama,1318255,729547,75570,
Alaska,163387,166454,38767,
Arizona,1252401,1161167,191089,
Arkansas,684872,380494,65269,
California,4483814,8753792,1000287,
Colorado,1202484,1338870,238893,
Connecticut,673215,897572,74133,
Delaware,185127,235603,23084,
District of Columbia,12723,282830,15715,
Florida,4617886,4504975,379886,
Georgia,2089104,1877963,174380,
Hawaii,128847,266891,33199,
Idaho,409055,189765,91613,
Illinois,2146015,3090729,358081,
Indiana,1557286,1033126,167553,
Iowa,800963,653669,111379,
Kansas,671018,427005,96732,
Kentucky,1202971,628854,92325,
Louisiana,1178638,780154,70240,
Maine,335593,357735,54599,
Maryland,943169,1677928,160349,
Massachusetts,1090893,1995196,238957,
Michigan,2279543,2268839,276160,
Minnesota,1323232,1367825,254176,
Mississippi,700714,485131,25243,
Missouri,1594511,1071068,162687,
Montana,279240,177709,44873,
Nebraska,495961,284494,63772,
Nevada,512058,539260,74067,
New Hampshire,345790,348526,49980,
New Jersey,1601933,2148278,156512,
New Mexico,319667,385234,93418,
New York,2819557,4556142,346096,
North Carolina,2362631,2189316,189617,
North Dakota,216794,93758,33808,
Ohio,2841006,2394169,301372,
Oklahoma,949136,420375,83481,
Oregon,782403,1002106,216827,
Pennsylvania,2970733,2926441,269555,
Rhode Island,180543,252525,31076,
South Carolina,1155389,855373,92265,
South Dakota,227721,117458,24914,
Tennessee,1522925,870695,114407,
Texas,4685047,3877868,430251,
Utah,515231,310676,317694,
Vermont,95369,178573,41125,
Virginia,1769443,1981473,231836,
Washington,1221747,1742718,352531,
West Virginia,489371,118794,43068,
Wisconsin,1405284,1382536,188330,
Wyoming,174419,55973,25457,
